timesteps,mean_reward,policy_loss,value_loss
4000,-7.7451042085886,,
8000,-7.225079919561744,-0.0087576158111915,1845.257028198242
12000,-6.767680103510618,-0.01240812711766921,1149.716012954712
16000,-5.901790428232402,-0.004447363184590358,600.3500894546509
20000,-6.482364122509956,-0.01127512161328923,342.5240319252014
24000,-5.712608230243437,-0.009894115132919979,164.353515958786
28000,-5.672714383617043,-0.008237370688584633,82.21417987346649
32000,-6.27982065756619,-0.012025177500618156,46.32210873365402
36000,-6.474391542196273,-0.01994875609234441,31.608341455459595
40000,-5.913056307718158,-0.02076956101373071,21.539143604040145
44000,-5.290102640159428,-0.0283095997539931,22.403989601135255
48000,-4.542215023630298,-0.017132059746654705,15.029135882854462
52000,-4.108950278981589,-0.019700304028810935,16.06421790122986
56000,-3.979199215703411,-0.011688950537063647,13.06694501042366
60000,-4.150367568828864,-0.013184349586663303,12.231644344329833
64000,-3.6794192491169087,-0.021021930396091192,18.260021775960922
68000,-2.692395987331838,-0.013571199274156242,12.137898373603822
72000,-3.1369235455170563,-0.00854346688138321,12.737462857365609
76000,-3.841225647295025,-0.009862209192942829,8.782430446147918
80000,-2.565961021374547,-0.002424398815492168,9.234808093309402
84000,-3.7746640492236185,-0.014058386233227794,6.104199030995369
88000,-2.6851740231434813,-0.003003553775488399,10.361489325761795
92000,-1.9157758911288694,-0.0022289925225777553,8.212444427609444
96000,-3.7733704009603244,-0.006763221047003753,5.9202250957489015
100000,-2.631625397359152,-0.004108487750636413,6.265689873695374
104000,-3.39531386762852,0.0005407400341937319,5.013383966684342
108000,-2.321196189112612,-0.0017400545155396685,4.422577357292175
112000,-2.108609471384785,-0.004380451186443679,6.259083725512028
116000,-2.9392787687348902,-0.002190385910216719,5.273085062205792
120000,-2.65690859346246,-0.004995435963792261,2.8269632302224634
124000,-2.6201439532242947,-0.0013629867229610682,4.300406418740749
128000,-2.3324586306699495,-0.011959685482725035,3.7644445091485976
132000,-2.0713190436280895,-0.0023744314239593223,3.1048965409398077
136000,-2.7347742883557657,-0.0068796765073784625,4.369440944492817
140000,-2.6015811519774434,-0.009092300957127009,4.788444738090038
144000,-3.01978853262763,-0.013062847891706041,3.7094630405306814
148000,-2.448741814817651,-0.0019330368639202788,2.565835106372833
152000,-2.5286636272798644,-0.012323605487472378,3.6117440819740296
156000,-2.609983165734768,-0.007482668771990575,3.129918949306011
160000,-1.520921950814045,-0.009206152678234502,3.186833621561527
164000,-2.3987330648072747,-0.007936952005547938,2.553673145920038
168000,-1.9380347655967343,-0.009778809241834097,2.585440380871296
172000,-2.2278062699238763,-0.009778809241834097,2.585440380871296
176000,-2.343161986817958,-0.004791525956534315,2.046258571743965
180000,-1.6263663602533507,-0.007408654066966847,3.9966341510415075
184000,-2.5262980523642544,-0.008112585538401617,3.121013122797012
188000,-1.383937643301717,-0.01635336306935642,2.8695289082825184
192000,-2.3099717295084012,-0.00953255668282509,6.053954561054707
196000,-1.9991522980099143,-0.007176105568942148,2.6015554152429106
200000,-1.9095592901973941,-0.011935133708175272,2.477664341777563
